,created_at,hours,full_text
31,2021-02-04 22:04:34+00:00,22.07611111111111,RT @CBSThisMorning: EXCLUSIVE: @RepAOC &amp; @RepJasonCrow will join @CBSThisMorning live on Friday to discuss dealing with trauma in the wake…
32,2021-02-04 22:00:16+00:00,22.004444444444445,"Not only did I never make this claim, but I would never, ever do this.

What Greene is doing pumping this lie to her insurrectionist base is making them feel justified in further violence.

The prospect of stripping her committees clearly isn’t quelling her. She must be expelled. https://t.co/8WvvCgsMQt"
33,2021-02-04 21:53:34+00:00,21.892777777777777,"@NancyMace “I’m not discounting your experience, I’m just fact checking statements you never made and insinuating you said them”

Great job Mace 👍🏽 Hope you’re proud of how quickly you are to throw other survivors under the bus for a moment of personal gain.

Enjoy your Fox News hits."
34,2021-02-04 21:45:25+00:00,21.756944444444443,"@SmallTownPundit It’ll be available on CSPAN, which archives footage online for later viewing. If you follow our official Congressional accounts (usually they have “rep” in front of them - mine is @RepAOC) I’m sure many clips will also be reposted."
35,2021-02-04 21:41:26+00:00,21.690555555555555,"As I said earlier this week, my story of the attack on our Capitol is not the only story,nor is it the central story.

It is just one of 100s of stories.

Tonight, we will start to hear more on the House floor.

I invite all colleagues who wish to share to join our special order. https://t.co/O4rVIA4R95"
36,2021-02-04 21:33:30+00:00,21.558333333333334,"RT @scottwongDC: Lawmakers will share their personal stories of the Jan. 6 attack on the House floor tonight. 

.@AOC will kick off the spe…"
37,2021-02-04 19:46:03+00:00,19.7675,Bronx residents - you can get a vaccine appointment at Yankee Stadium next week! ⤵️ https://t.co/kLt5xLYfUv
38,2021-02-04 18:02:54+00:00,18.048333333333336,"Last night House Republicans gave a standing ovation to their GOP colleague who then went on the floor today to equate journalistic media outlets with QAnon.

These are the beliefs and actions they work to protect. It’s also a predictable outcome of 0 accountability for the 6th. https://t.co/eZNEbDcOdn"
39,2021-02-04 17:39:41+00:00,17.661388888888887,RT @repblumenauer: NEWS: I just introduced new legislation with @AOC and @BernieSanders that directs the president to declare a national cl…
40,2021-02-04 16:48:18+00:00,16.805,"RT @AriRabinHavt: During the attack I was at the Rayburn Tunnel. Trying to find a hiding place, I moved to Canon. A swat team came running…"
41,2021-02-04 16:41:54+00:00,16.698333333333334,"How many food workers or custodial workers or Capitol Police officers, who ran for their lives in Longworth or feared for their families in the weeks after the attacks, now think their terror is less valid because of her statements?

Mace’s attacks are attacks on them, too."
42,2021-02-04 16:37:20+00:00,16.622222222222224,"This is where the true damage of what @NancyMace is doing comes in.

How many survivors are watching her? Who now, seeing her, won’t get care or will feel further shame or silence? Who won’t speak up bc they know there are voices in leadership ready to minimize their experiences?"
43,2021-02-04 16:32:42+00:00,16.545,All I can think of w/ folks like her dishonestly claiming that survivors are exaggerating are the stories of veterans and survivors in my community who deny themselves care they need &amp; deserve bc they internalize voices like hers saying what they went through “wasn’t bad enough”
44,2021-02-04 16:23:24+00:00,16.39,"Wild that @NancyMace is discrediting herself less than 1 mo in office w/ such dishonest attacks. She *went on record* saying she barricaded in fear.

@NancyMace who else’s experiences will you minimize?Capitol Police in Longworth? Custodial workers who cleaned up shards of glass? https://t.co/l1CT0jIXJF"
45,2021-02-04 15:49:13+00:00,15.820277777777777,RT @AnthonyAdragna: New: @repblumenauer; @AOC and @BernieSanders introduce a bill requiring the president declare a national emergency for…
46,2021-02-04 15:39:58+00:00,15.666111111111112,"This was what you were saying just a few weeks ago.

Now you’re contradicting your own account to attack me for Fox News clicks.

It’s honestly pretty sad to see you turn around like this and throw other people under the bus.

Thought you’d be better.
https://t.co/1WPlwUWlar"
